weight,bold_red,medium_Red,light_red,rose,rich_white,light_white,sparkling,sweet_white,dessert
0.05,1.3,1.1,1.45,1.3,1.15,1.2,1.35,2.75,1.5
0.1,1.0,3.0714285714285716,1.1428571428571428,1.7142857142857142,0.7857142857142857,1.8571428571428572,1.3571428571428572,2.7857142857142856,1.3571428571428572
0.15,1.0892857142857142,2.482142857142857,1.5714285714285714,2.267857142857143,1.8928571428571428,2.0535714285714284,1.3035714285714286,1.8392857142857142,0.5
0.2,2.875,3.0,1.625,2.0,2.25,1.375,2.0,1.375,2.375
0.4,1.5,1.6875,1.8125,1.375,2.0625,1.875,1.9375,1.5,0.75
