category,bold_red,medium_Red,light_red,rose,rich_white,light_white,sparkling,sweet_white,dessert
dairy,2.875,3.0,1.625,2.0,2.25,1.375,2.0,1.375,2.375
herb/spices,1.0,3.0714285714285716,1.1428571428571428,1.7142857142857142,0.7857142857142857,1.8571428571428572,1.3571428571428572,2.7857142857142856,1.3571428571428572
meat,1.5,1.6875,1.8125,1.375,2.0625,1.875,1.9375,1.5,0.75
preparation,2.375,1.625,2.375,1.25,1.25,2.0,1.8125,1.4375,0.6875
starches,1.25,1.25,1.625,2.0,1.625,1.25,1.25,3.5,1.125
sweet,0.5,0.5,0.5,0.5,0.5,0.5,1.1,2.9,2.6
vegetable,1.0892857142857142,2.482142857142857,1.5714285714285714,2.267857142857143,1.8928571428571428,2.0535714285714284,1.3035714285714286,1.8392857142857142,0.5
